source_kind,source_name,source_path,unit_kind,container_name,sheet_name,slide_number,paragraph_index,table_index,row_index,column_index,cell_label,text,style_json,notes,host_name,host_since
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,43,,,"2138177,Rustic Designer Suite near City Center,6521193,Terry And Piper,5/22/13,t,1,t,t,1,District 6,36.16107,-86.75256,121,1,Entire home/apt,4,1 bath,1,2,$140.00 ,467,3.7,4.97,4.97,4.98,4.98,4.96,4.68,4.9","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,44,,,"2181743,Take It Easy at an Urban Cottage in East Nashville/near Dt,7073590,Brigitte,6/23/13,t,18,t,t,19,District 6,36.17035,-86.74017,325,1,Entire home/apt,10,2 baths,3,4,$253.00 ,647,5.27,4.94,4.96,4.96,4.96,4.97,4.95,4.88","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,45,,,"2261942,Charming Room in Hip East Nashville,11550460,Jim,1/22/14,t,1,t,t,1,District 5,36.18269,-86.75301,280,2,Private room,2,1 bath,1,1,$82.00 ,738,5.96,4.92,4.94,4.8,4.98,4.97,4.9,4.91","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,46,,,"2288174,Gorgeous! 3 BR in Heart of Nashville,11697248,Chloe,1/27/14,t,2,t,t,2,District 25,36.11209,-86.79666,10,3,Entire home/apt,6,2 baths,3,5,$350.00 ,1,0.01,5,5,5,5,5,5,5","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,47,,,"2316288,2.5 Miles From Downtown Two Living Spaces,7428690,Matt & Steph,7/11/13,t,3,t,t,3,District 6,36.18628,-86.74254,350,2,Entire home/apt,10,3 baths,3,5,$171.00 ,339,3.11,4.93,4.93,4.95,4.98,4.96,4.91,4.84","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,48,,,"2372334,Charismatic room in East Nashville,1567001,Amy,1/4/12,t,4,t,t,11,District 6,36.17833,-86.74426,0,30,Private room,2,1 bath,NA,NA,,49,0.39,4.96,4.94,4.92,5,4.98,4.94,4.88","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,49,,,"2396505,Luxe Comfort in an Artistic & Historic Home,12098481,Bryan,2/9/14,f,1,t,t,1,District 18,36.13541,-86.812656,266,3,Entire home/apt,8,3.5 baths,4,NA,,88,0.71,4.99,5,5,4.98,5,4.97,4.8","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,50,,,"2473234,Room At Eastland - Your totally private space!,12649085,Val,2/27/14,t,1,t,t,1,District 6,36.18034,-86.72588,309,4,Entire home/apt,2,1 bath,1,1,$82.00 ,170,1.36,4.98,4.98,4.99,4.99,5,4.9,4.96","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,51,,,"2479230,2BR/1BA Long-Term FURNISHED Rental by Vandy,2800334,Kristin,7/1/12,t,2,t,t,2,District 19,36.14377,-86.79486,326,30,Entire home/apt,4,1 bath,2,2,$105.00 ,101,0.83,4.96,4.98,4.89,4.98,4.96,4.89,4.88","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,52,,,"2521338,beautiful affordable space * ladies only * NS,812128,Patricia And John,7/12/11,t,9,t,t,19,District 12,36.18934,-86.59118,180,30,Private room,1,1 bath,1,1,$35.00 ,3,0.03,4.67,4.33,3.67,5,5,5,4","{""delimiter"": "","", ""fields"": 30}",,,
